HALO WIND TUNNEL TEST PLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run matrix for UAV testing.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HALO Test Information,,,,,Exterior Noise Source Info,,UAV Information,,,,,,,,,,,,,,,,,,
Run #,Run Name,"HALO 
Sequence","Flow Speed
(k/hr)","Turbulence Plate
Installed?",HALO Test Attributes,"Duration 
[s]",Sound Source Tone,Active Point Source Location,"Hover or 
Traversing Flight",Traverse Speed [m/s],Number of UAVs,"UAV 1
Active?",UAV 1 Location / Path,UAV 1 Altitude,"UAV 2
Active?",UAV 2 Location,UAV 2 Altitude,"UAV 3
Active?",UAV 3 Location,UAV 3 Altitude,"UAV 4
Active?",UAV 4 Location,UAV 4 Altitude,"UAV 5
Active?",UAV 5 Location,UAV 5 Altitude,Notes / Configurations
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,,Tone,1,T,1,1,Yes,"""+Y-Sweep-2""",1,No,,,No,,,No,,,No,,,
21,2Max-H-Fm1-Alt3-TP,3,0,Yes,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),3,Yes,(1 3),3,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),3,Yes,(1 3),3,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),3,Yes,(1 3),3,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),3,Yes,(1 3),3,No,,,No,,,No,,,
22,2Max-H-Fm1-Alt2-TP,3,0,Yes,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),2,Yes,(1 3),2,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),2,Yes,(1 3),2,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),2,Yes,(1 3),2,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),2,Yes,(1 3),2,No,,,No,,,No,,,
23,2Max-H-Fm1-Alt1-TP,3,0,Yes,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),1,Yes,(1 3),1,No,,,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),1,Yes,(1 3),1,No,,,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),1,Yes,(1 3),1,No,,,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),1,Yes,(1 3),1,No,,,No,,,No,,,
24,3Max-H-Fm1-Alt3-TP,3,0,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,No,,,No,,,
25,3Max-H-Fm1-Alt2-TP,3,0,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,No,,,No,,,
26,3Max-H-Fm1-Alt1-TP,3,0,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,No,,,No,,,
27,5Max-H-Fm1-Alt3-TP,3,0,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,Yes,(3 1),3,Yes,(3 3),3,
,,,6,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,Yes,(3 1),3,Yes,(3 3),3,
,,,9,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,Yes,(3 1),3,Yes,(3 3),3,
,,,12,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,Yes,(3 1),3,Yes,(3 3),3,
28,5Max-H-Fm1-Alt2-TP,3,0,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
,,,6,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
,,,9,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
,,,12,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
29,5Max-H-Fm1-Alt1-TP,3,0,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,Yes,(3 1),1,Yes,(3 3),1,
,,,6,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,Yes,(3 1),1,Yes,(3 3),1,
,,,9,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,Yes,(3 1),1,Yes,(3 3),1,
,,,12,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,Yes,(3 1),1,Yes,(3 3),1,
30,5Max-T-Fm1-AltS-TP,1,0,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,0,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
,,,6,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,6,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
,,,9,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,9,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
,,,12,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,12,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
31,5Max-T-Fm1-AltS-TP,1,0,Yes,Arrays & Press,30,Tone,2,H,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,0,Yes,Arrays & Press,30,Tone,2,H,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
,,,6,Yes,Arrays & Press,30,Tone,2,H,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,6,Yes,Arrays & Press,30,Tone,2,H,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
,,,9,Yes,Arrays & Press,30,Tone,2,H,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,9,Yes,Arrays & Press,30,Tone,2,H,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
,,,12,Yes,Arrays & Press,30,Tone,2,H,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,12,Yes,Arrays & Press,30,Tone,2,H,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
32,5Max-H-Fm2-Alt3-TP,3,0,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(2 1),3,Yes,(2 3),3,Yes,(1 2),3,Yes,(3 1),3,Yes,(3 3),3,
,,,6,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(2 1),3,Yes,(2 3),3,Yes,(1 2),3,Yes,(3 1),3,Yes,(3 3),3,
,,,9,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(2 1),3,Yes,(2 3),3,Yes,(1 2),3,Yes,(3 1),3,Yes,(3 3),3,
,,,12,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(2 1),3,Yes,(2 3),3,Yes,(1 2),3,Yes,(3 1),3,Yes,(3 3),3,
33,5Max-H-Fm2-Alt2-TP,3,0,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(2 1),2,Yes,(2 3),2,Yes,(1 2),2,Yes,(3 1),2,Yes,(3 3),2,
,,,6,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(2 1),2,Yes,(2 3),2,Yes,(1 2),2,Yes,(3 1),2,Yes,(3 3),2,
,,,9,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(2 1),2,Yes,(2 3),2,Yes,(1 2),2,Yes,(3 1),2,Yes,(3 3),2,
,,,12,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(2 1),2,Yes,(2 3),2,Yes,(1 2),2,Yes,(3 1),2,Yes,(3 3),2,
34,5Max-H-Fm2-Alt1-TP,3,0,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(2 1),1,Yes,(2 3),1,Yes,(1 2),1,Yes,(3 1),1,Yes,(3 3),1,
,,,6,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(2 1),1,Yes,(2 3),1,Yes,(1 2),1,Yes,(3 1),1,Yes,(3 3),1,
,,,9,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(2 1),1,Yes,(2 3),1,Yes,(1 2),1,Yes,(3 1),1,Yes,(3 3),1,
,,,12,Yes,Arrays & Press,30,Tone,1,H,,5,Yes,(2 1),1,Yes,(2 3),1,Yes,(1 2),1,Yes,(3 1),1,Yes,(3 3),1,
35,3Max-H-Fm2-Alt3-TP,3,0,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(2 1),3,Yes,(2 3),3,Yes,(1 2),3,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(2 1),3,Yes,(2 3),3,Yes,(1 2),3,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(2 1),3,Yes,(2 3),3,Yes,(1 2),3,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(2 1),3,Yes,(2 3),3,Yes,(1 2),3,No,,,No,,,
36,3Max-H-Fm2-Alt2-TP,3,0,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(2 1),3,Yes,(2 3),2,Yes,(1 2),2,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(2 1),3,Yes,(2 3),2,Yes,(1 2),2,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(2 1),3,Yes,(2 3),2,Yes,(1 2),2,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(2 1),3,Yes,(2 3),2,Yes,(1 2),2,No,,,No,,,
37,3Max-H-Fm2-Alt1-TP,3,0,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(2 1),3,Yes,(2 3),1,Yes,(1 2),1,No,,,No,,,
,,,6,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(2 1),3,Yes,(2 3),1,Yes,(1 2),1,No,,,No,,,
,,,9,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(2 1),3,Yes,(2 3),1,Yes,(1 2),1,No,,,No,,,
,,,12,Yes,Arrays & Press,30,Tone,1,H,,3,Yes,(2 1),3,Yes,(2 3),1,Yes,(1 2),1,No,,,No,,,
38,2Max-H-Fm1-Alt3-TP,3,0,No,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),3,Yes,(1 3),3,No,,,No,,,No,,,
,,,6,No,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),3,Yes,(1 3),3,No,,,No,,,No,,,
,,,9,No,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),3,Yes,(1 3),3,No,,,No,,,No,,,
,,,12,No,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),3,Yes,(1 3),3,No,,,No,,,No,,,
39,2Max-H-Fm1-Alt2-TP,3,0,No,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),2,Yes,(1 3),2,No,,,No,,,No,,,
,,,6,No,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),2,Yes,(1 3),2,No,,,No,,,No,,,
,,,9,No,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),2,Yes,(1 3),2,No,,,No,,,No,,,
,,,12,No,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),2,Yes,(1 3),2,No,,,No,,,No,,,
40,2Max-H-Fm1-Alt1-TP,3,0,No,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),1,Yes,(1 3),1,No,,,No,,,No,,,
,,,6,No,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),1,Yes,(1 3),1,No,,,No,,,No,,,
,,,9,No,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),1,Yes,(1 3),1,No,,,No,,,No,,,
,,,12,No,Arrays & Press,30,Tone,1,H,,2,Yes,(1 1),1,Yes,(1 3),1,No,,,No,,,No,,,
41,3Max-H-Fm1-Alt3-TP,3,0,No,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,No,,,No,,,
,,,6,No,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,No,,,No,,,
,,,9,No,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,No,,,No,,,
,,,12,No,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,No,,,No,,,
42,3Max-H-Fm1-Alt2-TP,3,0,No,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,No,,,No,,,
,,,6,No,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,No,,,No,,,
,,,9,No,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,No,,,No,,,
,,,12,No,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,No,,,No,,,
43,3Max-H-Fm1-Alt1-TP,3,0,No,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,No,,,No,,,
,,,6,No,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,No,,,No,,,
,,,9,No,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,No,,,No,,,
,,,12,No,Arrays & Press,30,Tone,1,H,,3,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,No,,,No,,,
44,5Max-H-Fm1-Alt3-TP,3,0,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,Yes,(3 1),3,Yes,(3 3),3,
,,,6,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,Yes,(3 1),3,Yes,(3 3),3,
,,,9,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,Yes,(3 1),3,Yes,(3 3),3,
,,,12,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),3,Yes,(1 3),3,Yes,(2 2),3,Yes,(3 1),3,Yes,(3 3),3,
45,5Max-H-Fm1-Alt2-TP,3,0,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
,,,6,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
,,,9,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
,,,12,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
46,5Max-H-Fm1-Alt1-TP,3,0,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,Yes,(3 1),1,Yes,(3 3),1,
,,,6,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,Yes,(3 1),1,Yes,(3 3),1,
,,,9,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,Yes,(3 1),1,Yes,(3 3),1,
,,,12,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,Yes,(3 1),1,Yes,(3 3),1,
47,5Max-T-Fm1-AltS-TP,1,0,No,Arrays & Press,30,Tone,1,T,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,0,No,Arrays & Press,30,Tone,1,T,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
,,,6,No,Arrays & Press,30,Tone,1,T,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,6,No,Arrays & Press,30,Tone,1,T,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
,,,9,No,Arrays & Press,30,Tone,1,T,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,9,No,Arrays & Press,30,Tone,1,T,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
,,,12,No,Arrays & Press,30,Tone,1,T,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,12,No,Arrays & Press,30,Tone,1,T,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
48,5Max-T-Fm1-AltS-TP,1,0,No,Arrays & Press,30,Tone,2,T,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,0,No,Arrays & Press,30,Tone,2,T,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
,,,6,No,Arrays & Press,30,Tone,2,T,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,6,No,Arrays & Press,30,Tone,2,T,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
,,,9,No,Arrays & Press,30,Tone,2,T,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,9,No,Arrays & Press,30,Tone,2,T,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
,,,12,No,Arrays & Press,30,Tone,2,T,,5,Yes,(1 1),"""-Z-Sweep""",Yes,(1 3),"""-Z-Sweep""",Yes,(2 2),"""-Z-Sweep""",Yes,(3 1),"""-Z-Sweep""",Yes,(3 3),"""-Z-Sweep""",
,,,12,No,Arrays & Press,30,Tone,2,T,,5,Yes,(1 1),"""+Z-Sweep""",Yes,(1 3),"""+Z-Sweep""",Yes,(2 2),"""+Z-Sweep""",Yes,(3 1),"""+Z-Sweep""",Yes,(3 3),"""+Z-Sweep""",
49,5Max-H-Fm1-Alt2-TP,3,0,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
,,,6,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
,,,9,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
,,,12,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
50,5Max-H-Fm1-Alt1-TP,3,0,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,Yes,(3 1),1,Yes,(3 3),1,
,,,6,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,Yes,(3 1),1,Yes,(3 3),1,
,,,9,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,Yes,(3 1),1,Yes,(3 3),1,
,,,12,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,Yes,(3 1),1,Yes,(3 3),1,
51,5Max-H-Fm1-Alt2-TP,3,0,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
,,,6,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
,,,9,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
,,,12,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),2,Yes,(1 3),2,Yes,(2 2),2,Yes,(3 1),2,Yes,(3 3),2,
52,5Max-H-Fm1-Alt1-TP,3,0,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,Yes,(3 1),1,Yes,(3 3),1,
,,,6,No,Arrays & Press,30,Tone,1,H,,5,Yes,(1 1),1,Yes,(1 3),1,Yes,(2 2),1,Yes,(3 1),1,Yes,(3 3),1,
